Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method,Standardized Purchase Amount (USD),Year,Month,Weekday,Item Purchased Encoded,Payment Method Encoded
3992,Backpack,101.0,2022-12-13,1.3,Credit Card,-0.11728700472412928,2022,12,1,0,1
4105,Dress,164.0,2022-10-20,3.2,Credit Card,1.1426249170612641,2022,10,3,9,1
4119,Boots,21.0,2023-04-03,3.9,Cash,-1.717175159372248,2023,4,0,4,0
3957,Camisole,147.0,2022-11-04,4.7,Cash,0.802648684198539,2022,11,4,6,0
3994,Loafers,127.0,2023-05-16,3.9,Cash,0.4026766455365093,2023,5,1,21,0
3995,Bowtie,30.0,2022-11-23,4.1,Cash,-1.5371877419743347,2022,11,2,5,0
4072,Poncho,170.0,2022-10-15,3.6,Credit Card,1.2626165286598732,2022,10,5,27,1
4093,Trousers,102.0,2023-05-25,2.1,Cash,-0.09728840279102781,2023,5,3,45,0
4031,Blouse,190.0,2023-01-14,3.0,Cash,1.6625885673219027,2023,1,5,3,0
4056,Sneakers,121.0,2022-11-02,3.0693548387096774,Credit Card,0.2826850339379004,2022,11,2,35,1
4114,Leggings,84.0,2023-06-15,3.8,Cash,-0.4572632375868545,2023,6,3,20,0
4104,Backpack,69.0,2023-05-27,2.1,Cash,-0.7572422665833768,2023,5,5,0,0
4071,Tunic,107.0,2022-12-03,1.5,Cash,0.0027046068744796137,2022,12,5,46,0
4007,Dress,172.0,2023-04-05,1.9,Cash,1.302613732526076,2023,4,2,9,0
4009,Flannel Shirt,51.0,2023-04-16,1.8,Cash,-1.1172171013792034,2023,4,6,10,0
4038,Tie,63.0,2023-02-13,4.3,Cash,-0.8772338781819857,2023,2,0,43,0
4033,Backpack,189.0,2023-08-31,4.9,Cash,1.6425899653888012,2023,8,3,0,0
4102,Cardigan,175.0,2023-06-05,3.6,Credit Card,1.3626095383253805,2023,6,0,7,1
4034,Tunic,124.0,2023-07-01,1.5,Credit Card,0.3426808397372048,2023,7,5,46,1
4068,Jeans,146.0,2023-08-26,1.1,Cash,0.7826500822654375,2023,8,5,17,0
4045,Gloves,51.0,2023-01-27,2.5,Credit Card,-1.1172171013792034,2023,1,4,12,1
3979,Camisole,79.0,2023-06-05,1.3,Cash,-0.5572562472523619,2023,6,0,6,0
4106,Trousers,173.0,2023-09-07,3.4,Credit Card,1.3226123344591776,2023,9,3,45,1
3959,Trousers,66.0,2022-11-02,4.5,Cash,-0.8172380723826812,2022,11,2,45,0
4113,Boots,24.0,2023-01-20,1.2,Credit Card,-1.6571793535729435,2023,1,4,4,1
